name,termin,url
Разработчик,от 12 месяцев,https://gb.ru/geek_university/developer
ИТ-специалист,6 месяцев,https://gb.ru/geek_university/it-specialist
ИТ-инженер,12 месяцев,https://gb.ru/geek_university/developer/engineer
ИТ-инженер Мастер,24 месяца,https://gb.ru/geek_university/developer/engineer/it-master
ИТ-инженер PRO,36 месяцев,https://gb.ru/geek_university/developer/engineer/it-pro
Программист-специалист,6 месяцев,https://gb.ru/geek_university/it-specialist/programmer
Инженер-программист,12 месяцев,https://gb.ru/geek_university/developer/programmer
Инженер-программист Мастер,24 месяцев,https://gb.ru/geek_university/developer/programmer/master
Инженер-программист PRO,36 месяцев,https://gb.ru/geek_university/developer/programmer/pro
ИТ-Инженер. Передовые технологии,12 месяцев,https://gb.ru/geek_university/engineer/main
ИТ-Инженер. Передовые технологии: Web 3.0,12 месяцев,https://gb.ru/geek_university/engineer/web3
ИТ-Инженер. Передовые технологии: Blockchain,12 месяцев,https://gb.ru/geek_university/engineer/blockchain
ИТ-Инженер. Передовые технологии: Data Science,12 месяцев,https://gb.ru/geek_university/engineer/datascience
ИТ-Инженер. Передовые технологии: Искусственный интеллект,12 месяцев,https://gb.ru/geek_university/engineer/ai
ИТ-Инженер. Передовые технологии: Кибернетика умных устройств,12 месяцев,https://gb.ru/geek_university/engineer/iot
ИТ-Инженер. Передовые технологии: Метавселенные,12 месяцев,https://gb.ru/geek_university/engineer/metaverse
Инженер-программист C# Мастер,24 месяца,https://gb.ru/geek_university/developer/programmer/csharp/master
Инженер-программист C#,12 месяцев,https://gb.ru/geek_university/developer/programmer/csharp
Инженер-программист C++ Мастер,24 месяца,https://gb.ru/geek_university/developer/programmer/cpp/master
Инженер-программист C++,12 месяцев,https://gb.ru/geek_university/developer/programmer/cpp
Инженер-программист Python Мастер,24 месяца,https://gb.ru/geek_university/developer/programmer/python/master
Инженер-программист Python,12 месяцев,https://gb.ru/geek_university/developer/programmer/python
Инженер-программист Java Мастер,24 месяца,https://gb.ru/geek_university/developer/programmer/java/master
